prefix,rate (inter),intrastate,intrastate,effective
1201200,0.0096,0.0096,0.03136,3/31/25
1201201,0.0114096,0.00768,0.03304896,3/31/25
1201202,0.011472,0.00912768,0.0331072,3/31/25
1201203,0.0052248,0.0091776,0.02727648,3/31/25
1201204,0.0052248,0.00417984,0.02727648,3/31/25
1201205,0.011472,0.00417984,0.0331072,3/31/25
1201206,0.011472,0.0091776,0.0331072,3/31/25
1201207,0.0006864,0.0091776,0.02301376,3/31/25
1201208,0.0113544,0.00052608,0.03299744,3/31/25
1201209,0.0096,0.00908352,0.03136,3/31/25
1201210,0.0045564,0.00768,0.02677696,3/31/25
1201212,0.011472,0.00375168,0.0331072,3/31/25
1201213,0.000708,0.0091776,0.02296,3/31/25
1201214,0.0113544,0.00048,0.03299744,3/31/25
1201215,0.0052248,0.00908352,0.02727648,3/31/25
1201216,0.0096,0.00417984,0.03136,3/31/25
1201217,0.0096,0.00768,0.03136,3/31/25
1201218,0.0113544,0.00768,0.03299744,3/31/25
1201219,0.011472,0.00908352,0.0331072,3/31/25
1201220,0.0113544,0.0091776,0.03299744,3/31/25
1201221,0.0036,0.00908352,0.02576,3/31/25
1201222,0.0096,0.00288,0.03136,3/31/25
1201223,0.0096,0.00768,0.03136,3/31/25
1201224,0.0096,0.00768,0.03136,3/31/25
1201225,0.0096,0.00768,0.03136,3/31/25
1201226,0.0096,0.00768,0.03136,3/31/25
1201227,0.0096,0.00768,0.03136,3/31/25
1201228,0.0045564,0.00768,0.02655408,3/31/25
1201229,0.0096,0.00356064,0.03136,3/31/25
1201230,0.000708,0.00768,0.02302944,3/31/25
1201231,0.0045564,0.00053952,0.02677696,3/31/25
1201232,0.000708,0.00375168,0.02303392,3/31/25
1201233,0.011472,0.00054336,0.0331072,3/31/25
1201234,0.0045564,0.0091776,0.02677696,3/31/25
1201235,0.0034032,0.00375168,0.02630656,3/31/25
1201236,0.0096,0.00334848,0.03136,3/31/25
1201237,0.0113544,0.00768,0.03299744,3/31/25
1201238,0.011472,0.00908352,0.0331072,3/31/25
1201239,0.0096,0.0091776,0.03136,3/31/25
