prefix,rate (inter),intrastate,intrastate,effective
1201200,0.008,0.008,0.008,3/31/25
1201201,0.009508,0.009508,0.009508,3/31/25
1201202,0.00956,0.00956,0.00956,3/31/25
1201203,0.004354,0.004354,0.004354,3/31/25
1201204,0.004354,0.004354,0.004354,3/31/25
1201205,0.00956,0.00956,0.00956,3/31/25
1201206,0.00956,0.00956,0.00956,3/31/25
1201207,0.000572,0.000548,0.000548,3/31/25
1201208,0.009462,0.009462,0.009462,3/31/25
1201209,0.008,0.008,0.008,3/31/25
1201210,0.003797,0.003908,0.003908,3/31/25
1201212,0.00956,0.00956,0.00956,3/31/25
1201213,0.00059,0.0005,0.0005,3/31/25
1201214,0.009462,0.009462,0.009462,3/31/25
1201215,0.004354,0.004354,0.004354,3/31/25
1201216,0.008,0.008,0.008,3/31/25
1201217,0.008,0.008,0.008,3/31/25
1201218,0.009462,0.009462,0.009462,3/31/25
1201219,0.00956,0.00956,0.00956,3/31/25
1201220,0.009462,0.009462,0.009462,3/31/25
1201221,0.003,0.003,0.003,3/31/25
1201222,0.008,0.008,0.008,3/31/25
1201223,0.008,0.008,0.008,3/31/25
1201224,0.008,0.008,0.008,3/31/25
1201225,0.008,0.008,0.008,3/31/25
1201226,0.008,0.008,0.008,3/31/25
1201227,0.008,0.008,0.008,3/31/25
1201228,0.003797,0.003709,0.003709,3/31/25
1201229,0.008,0.008,0.008,3/31/25
1201230,0.00059,0.000562,0.000562,3/31/25
1201231,0.003797,0.003908,0.003908,3/31/25
1201232,0.00059,0.000566,0.000566,3/31/25
1201233,0.00956,0.00956,0.00956,3/31/25
1201234,0.003797,0.003908,0.003908,3/31/25
1201235,0.002836,0.003488,0.003488,3/31/25
1201236,0.008,0.008,0.008,3/31/25
1201237,0.009462,0.009462,0.009462,3/31/25
1201238,0.00956,0.00956,0.00956,3/31/25
1201239,0.008,0.008,0.008,3/31/25
1201240,0.000577,0.000566,0.000566,3/31/25
1201241,0.00055,0.0005,0.0005,3/31/25
1201242,0.008,0.008,0.008,3/31/25
1201243,0.008,0.008,0.008,3/31/25
1201244,0.008,0.008,0.008,3/31/25
1201245,0.009462,0.009462,0.009462,3/31/25
1201246,0.008,0.008,0.008,3/31/25
1201247,0.000586,0.000554,0.000554,3/31/25
1201248,0.00058,0.000563,0.000563,3/31/25
1201249,0.00055,0.0005,0.0005,3/31/25
1201250,0.00055,0.0005,0.0005,3/31/25
1201251,0.008,0.008,0.008,3/31/25
1201252,0.009462,0.009462,0.009462,3/31/25
1201253,0.009462,0.009462,0.009462,3/31/25
1201254,0.006421,0.006464,0.006464,3/31/25
1201255,0.001254,0.001688,0.001688,3/31/25
1201256,0.003797,0.003908,0.003908,3/31/25
1201257,0.00956,0.00956,0.00956,3/31/25
1201258,0.003797,0.003598,0.003598,3/31/25
1201259,0.000583,0.0005,0.0005,3/31/25
1201261,0.008,0.008,0.008,3/31/25
1201262,0.008,0.008,0.008,3/31/25
1201263,0.008,0.008,0.008,3/31/25
1201264,0.000583,0.000554,0.000554,3/31/25
1201265,0.008,0.008,0.008,3/31/25
1201266,0.003797,0.003908,0.003908,3/31/25
1201267,0.001014,0.001776,0.001776,3/31/25
1201268,0.009462,0.009462,0.009462,3/31/25
1201269,0.008,0.008,0.008,3/31/25
1201270,0.003889,0.003865,0.003865,3/31/25
1201271,0.008,0.008,0.008,3/31/25
1201272,0.001826,0.001922,0.001922,3/31/25
1201273,0.00055,0.0005,0.0005,3/31/25
1201274,0.00055,0.0005,0.0005,3/31/25
1201275,0.00956,0.00956,0.00956,3/31/25
1201276,0.009462,0.009462,0.009462,3/31/25
1201277,0.009462,0.009462,0.009462,3/31/25
1201278,0.009462,0.009462,0.009462,3/31/25
1201279,0.00956,0.00956,0.00956,3/31/25
1201280,0.000587,0.0005,0.0005,3/31/25
1201281,0.00956,0.00956,0.00956,3/31/25
1201282,0.000939,0.000939,0.000939,3/31/25
1201283,0.003954,0.003979,0.003979,3/31/25
1201284,0.008,0.008,0.008,3/31/25
1201285,0.004354,0.004354,0.004354,3/31/25
1201286,0.009462,0.009462,0.009462,3/31/25
1201287,0.008,0.008,0.008,3/31/25
1201288,0.008,0.008,0.008,3/31/25
1201289,0.009462,0.009462,0.009462,3/31/25
1201290,0.009462,0.009462,0.009462,3/31/25
1201291,0.008,0.008,0.008,3/31/25
1201292,0.00101,0.002028,0.002028,3/31/25
1201293,0.00372,0.004085,0.004085,3/31/25
1201294,0.009462,0.009462,0.009462,3/31/25
1201295,0.008,0.008,0.008,3/31/25
1201296,0.008,0.008,0.008,3/31/25
1201297,0.003288,0.041879,0.041879,3/31/25
1201298,0.004354,0.004354,0.004354,3/31/25
1201299,0.003261,0.003422,0.003422,3/31/25
1201300,0.000947,0.000925,0.000925,3/31/25
1201301,0.001698,0.000939,0.000939,3/31/25
1201302,0.008,0.008,0.008,3/31/25
1201303,0.009462,0.009462,0.009462,3/31/25
1201304,0.00956,0.00956,0.00956,3/31/25
1201305,0.005271,0.004661,0.004661,3/31/25
1201306,0.000574,0.0005,0.0005,3/31/25
1201307,0.008,0.008,0.008,3/31/25
1201308,0.00452,0.003553,0.003553,3/31/25
1201309,0.008,0.008,0.008,3/31/25
1201310,0.009462,0.009462,0.009462,3/31/25
1201312,0.009462,0.009462,0.009462,3/31/25
1201313,0.008,0.008,0.008,3/31/25
