Destination,Dial Code,Rate
Afghanistan Fixed - Other,93,0.18
Afghanistan Mobile - AT,9375,0.1585
Afghanistan Mobile - AWCC,9370,0.1255
Afghanistan Mobile - AWCC,9371,0.1255
Afghanistan Mobile - Etisalat,9373,0.1425
Afghanistan Mobile - Etisalat,9378,0.1425
Afghanistan Mobile - MTN,9376,0.125
Afghanistan Mobile - MTN,9377,0.125
Afghanistan Mobile - Other Carriers,937,0.171
Afghanistan Mobile - Roshan,9372,0.159
Afghanistan Mobile - Roshan,9379,0.159
Afghanistan Mobile - Salam,9374,0.1785
Albania Fixed - AMC,3552155,0.1275
Albania Fixed - AMC,3552185,0.1275
Albania Fixed - AMC,3552253,0.1275
Albania Fixed - AMC,3552254,0.1275
Albania Fixed - AMC,3552440,0.1275
Albania Fixed - AMC,3553270,0.1275
Albania Fixed - AMC,3553350,0.1275
Albania Fixed - AMC,3553351,0.1275
Albania Fixed - AMC,3553490,0.1275
Albania Fixed - AMC,3553491,0.1275
Albania Fixed - AMC,3553560,0.1275
Albania Fixed - AMC,3554630,0.1275
Albania Fixed - AMC,3554631,0.1275
Albania Fixed - AMC,3554632,0.1275
Albania Fixed - AMC,3554633,0.1275
Albania Fixed - AMC,3555114,0.1275
Albania Fixed - AMC,3555263,0.1275
Albania Fixed - AMC,3555264,0.1275
Albania Fixed - AMC,3555370,0.1275
Albania Fixed - AMC,3555490,0.1275
Albania Fixed - AMC,3555491,0.1275
Albania Fixed - AMC,3555540,0.1275
Albania Fixed - AMC,3558290,0.1275
Albania Fixed - AMC,3558291,0.1275
Albania Fixed - AMC,3558340,0.1275
Albania Fixed - AMC,3558460,0.1275
Albania Fixed - AMC,3558550,0.1275
Albania Fixed - AMC,35521160,0.1275
Albania Fixed - AMC,35521161,0.1275
Albania Fixed - AMC,35521250,0.1275
Albania Fixed - AMC,35521340,0.1275
Albania Fixed - AMC,35521440,0.1275
Albania Fixed - AMC,35521650,0.1275
Albania Fixed - AMC,35521651,0.1275
Albania Fixed - AMC,35521740,0.1275
Albania Fixed - AMC,35521741,0.1275
Albania Fixed - AMC,35521940,0.1275
Albania Fixed - AMC,35526160,0.1275
Albania Fixed - AMC,35526250,0.1275
Albania Fixed - AMC,35526293,0.1275
Albania Fixed - AMC,35526323,0.1275
Albania Fixed - AMC,35526350,0.1275
Albania Fixed - AMC,35526363,0.1275
Albania Fixed - AMC,35526373,0.1275
